InvNo,Date,Vendor,Brand,InvoiceAmount,InvoicePaid,PaidDate,DaysToPay,DaysXAmount,PureX
13415a,5/20/2026,"Little Tree- Arborside","NORTH COAST",3196.10,0.00,,24.00,76706.40,
13416a,5/20/2026,"Little Tree- Sault Ste Marie","Sault Ste",3180.60,0.00,,24.00,76334.40,
13417a,5/20/2026,"Little Tree- Flower Pot Adrian","Flower Pot",3217.80,0.00,,24.00,77227.20,
13418a,5/20/2026,"Little Tree- Jazz Cannabis Club 3 Lapeer","",3090.70,0.00,,24.00,74176.80,
13419a,5/20/2026,"Little Tree- 420 Dank Jackson","420 dank jackson",3720.00,0.00,,24.00,89280.00,
13420a,5/20/2026,"Little Tree- Great Lakes Holisitic BC","Great Lakes Holistics",3137.20,0.00,,24.00,75292.80,
13421a,5/20/2026,"Little Tree- Wojo Bay City","Wojo Bay City",3660.60,0.00,,24.00,87854.40,
13422a,5/20/2026,"Little Tree- Arbor Kitchen LLC","",4960.00,4960.00,6/3/2026,14.00,69440.00,
13423a,5/20/2026,"Little Tree- 4K Processing","4K Processing",24000.00,24000.00,6/8/2026,19.00,456000.00,
13428a,5/20/2026,"Little Tree- All Star Processing","",36909.07,0.00,,24.00,885817.68,
13443a,5/20/2026,"Little Tree- Premiere Provisions Big Rapids","Premier Provsioning",3100.00,3100.00,6/1/2026,12.00,37200.00,
13444a,5/28/2026,"Gelato- Altitude Cannabis Bay City","Altitude",2730.20,0.00,,16.00,43683.20,YES
13445a,5/28/2026,"Little Tree- Meds Cafe Gaylord","",5524.20,0.00,,16.00,88387.20,
13446a,5/28/2026,"Little Tree- Meds Cafe Rogers City","",4240.80,0.00,,16.00,67852.80,
13447a,5/28/2026,"Little Tree- Six 12 Ventures","Six 12 Ventures",5059.20,0.00,,16.00,80947.20,
13448a,5/28/2026,"Little Tree- Meds Cafe Lowell","",5524.20,0.00,,16.00,88387.20,
13449a,5/28/2026,"Little Tree- Meds Cafe Manistee","",4240.80,0.00,,16.00,67852.80,
13450a,5/28/2026,"Little Tree- Joyology Battle Creek","JOYOLOGY",1534.50,1534.50,6/4/2026,7.00,10741.50,
13487a,6/2/2026,"Little Tree- All Star Processing","JARS/ALLSTAR",15118.95,15118.95,6/9/2026,7.00,105832.65,
13492a,6/2/2026,"Gelato- High Society Processing","High Society",51200.00,0.00,,11.00,563200.00,YES
13482a,6/4/2026,"Little Tree- Trapperz Alley New Buffalo","",1630.60,0.00,,9.00,14675.40,
13483a,6/4/2026,"Little Tree- Oasis Wellness Center of Bay City","",1708.10,0.00,,9.00,15372.90,
13484a,6/4/2026,"Little Tree- Blow New Buffalo","",3124.80,0.00,,9.00,28123.20,
13485a,6/4/2026,"Little Tree- Sozo","Exotics",4800.00,0.00,,9.00,43200.00,
13486a,6/4/2026,"Little Tree- 4K Processing","4K Processing",17445.00,0.00,,9.00,157005.00,
