InvNo,Date,Vendor,Brand,InvoiceAmount,InvoicePaid,PaidDate,DaysToPay,DaysXAmount,PureX
12967a,3/24/2026,"Gelato- KD Processing","KD Processing",3800.00,3800.00,4/30/2026,37.00,140600.00,YES
12968a,3/24/2026,"Little Tree- GNO Enterprises","Pure",54000.00,54000.00,4/30/2026,37.00,1998000.00,
12982a,3/26/2026,"Little Tree- Cloud Cannabis Kalamazoo","Stash Ventures LLC",2697.00,2697.00,4/27/2026,32.00,86304.00,
12983a,3/26/2026,"Little Tree- Cloud TC","Stash Ventures LLC",2170.00,2170.00,4/27/2026,32.00,69440.00,
12984a,3/26/2026,"Little Tree- Cloud Cannabis Ann Arbor","Stash Ventures LLC",1891.00,1891.00,4/27/2026,32.00,60512.00,
12985a,3/26/2026,"Little Tree- Cloud Cannabis New Baltimore","Stash Ventures LLC",2356.00,2356.00,4/27/2026,32.00,75392.00,
12986a,3/26/2026,"Little Tree- Cloud Cannabis Muskegon","Stash Ventures LLC",2666.00,2666.00,4/27/2026,32.00,85312.00,
12987a,3/26/2026,"Little Tree- Timber Cannabis Co 3 Rivers","Stash Ventures LLC",1364.00,1364.00,4/27/2026,32.00,43648.00,
12988a,3/26/2026,"Little Tree- Timber Big Rapids","Stash Ventures LLC",2077.00,2077.00,4/27/2026,32.00,66464.00,
12989a,3/26/2026,"Little Tree- Timber Cannabis Co","Stash Ventures LLC",2046.00,2046.00,4/27/2026,32.00,65472.00,
12990a,3/26/2026,"Little Tree- Skozee Light N Up","Light N Up",5555.20,4434.31,,79.00,438860.80,
12991a,3/26/2026,"Little Tree- SMOK Cannabis Dort HWY Flint","Smok Dort HWY Flint",6156.60,6156.60,6/10/2026,76.00,467901.60,
12992a,3/26/2026,"Little Tree- ProGro","Pro Gro",6100.00,6100.00,5/13/2026,48.00,292800.00,
12993a,3/26/2026,"Little Tree- Wayne ReLeaf","Wayne ReLeaf",2294.00,2074.00,3/30/2026,4.00,9176.00,
12994a,3/26/2026,"Little Tree- Wayne ReLeaf","Wayne ReLeaf",1147.00,1147.00,3/30/2026,4.00,4588.00,
12995a,3/26/2026,"Little Tree- Cannaisseur","Cannaisseur",2542.00,0.00,,79.00,200818.00,
12996a,3/26/2026,"Little Tree- MBD Ventures","MBD",3124.80,3124.80,4/10/2026,15.00,46872.00,
12997a,3/26/2026,"Little Tree- Arbor Kitchen LLC","ARBORS WELLNESS/HERBANA",5450.00,5450.00,4/9/2026,14.00,76300.00,
12998a,3/26/2026,"Little Tree- Puff Bay City","Puff",3152.70,3152.70,4/28/2026,33.00,104039.10,
12999a,3/26/2026,"Little Tree- Premiere Provisions Big Rapids","Premier Provsioning",3106.20,3106.20,3/30/2026,4.00,12424.80,
13009a,3/27/2026,"Little Tree- Timber Cannabis Co Allegan","Stash Ventures LLC",1891.00,0.00,,78.00,147498.00,
13010a,3/27/2026,"Little Tree- Timber Sturgis","Stash Ventures LLC",1519.00,0.00,,78.00,118482.00,
13011a,3/27/2026,"Gelato- Puff Madison Heights","Puff",3227.10,3227.10,5/18/2026,52.00,167809.20,YES
13012a,3/27/2026,"Little Tree- High Society Wellness Davison","High Society",6249.60,6249.60,4/27/2026,31.00,193737.60,
13015a,3/30/2026,"Little Tree- H&R Operations","H&R Operations",821.50,819.00,5/6/2026,37.00,30395.50,
13023a,3/31/2026,"Little Tree- Cloud Cannabis Cedar Springs","Stash Ventures LLC",2728.00,0.00,,74.00,201872.00,
13024a,3/31/2026,"Little Tree- Timber NB","Stash Ventures LLC",2542.00,0.00,,74.00,188108.00,
13025a,3/31/2026,"Little Tree- Timber Holly","Stash Ventures LLC",3038.00,0.00,,74.00,224812.00,
13026a,3/31/2026,"Little Tree- Cloud Cannabis Detroit","Stash Ventures LLC",3720.00,0.00,,74.00,275280.00,
13027a,3/31/2026,"Little Tree- Cloud Cannabis Gaylord","Stash Ventures LLC",2945.00,0.00,,74.00,217930.00,
13028a,3/31/2026,"Little Tree- Cloud Cannabis Utica","Stash Ventures LLC",3999.00,0.00,,74.00,295926.00,
13029a,3/31/2026,"Little Tree- Cloud Cannabis 28th St","Stash Ventures LLC",3255.00,0.00,,74.00,240870.00,
13030a,3/31/2026,"Little Tree- Cloud Cannabis Fulton","Stash Ventures LLC",3565.00,0.00,,74.00,263810.00,
13031a,3/31/2026,"Little Tree- Cloud Cannabis Fulton","Stash Ventures LLC",3565.00,0.00,,74.00,263810.00,
13040a,4/1/2026,"Little Tree- 4K Processing","4K Processing",15920.00,15920.00,4/9/2026,8.00,127360.00,
13042a,4/1/2026,"Little Tree- Great Lakes Cannabis Management Group","Great Lakes Holistics",4820.50,4820.50,5/21/2026,50.00,241025.00,
13045a,4/2/2026,"Gelato- MCB Distributors","Rush",3300.00,3300.00,5/29/2026,57.00,188100.00,YES
13046a,4/2/2026,"Little Tree- Cannabay","Cannabay",1426.00,0.00,,72.00,102672.00,
13047a,4/2/2026,"Little Tree- Dreams Canna","Dreams Canna Southfield",3713.80,3713.80,4/10/2026,8.00,29710.40,
13048a,4/2/2026,"Little Tree- Great Lakes Holistics Lansing","Great Lakes Holistics",3382.10,3382.10,4/10/2026,8.00,27056.80,
13049a,4/2/2026,"Little Tree- First Class Ann Arbor","First Class",3472.00,3472.00,5/6/2026,34.00,118048.00,
13050a,4/2/2026,"Little Tree- Light N Up Corunna","Light N Up",3723.10,1361.80,,72.00,268063.20,
13051a,4/2/2026,"Little Tree- Yuma Way","Yuma Way",5220.40,5220.40,4/22/2026,20.00,104408.00,
13052a,4/2/2026,"Little Tree- Burn","BURN",2752.80,2752.80,4/6/2026,4.00,11011.20,
13060a,4/6/2026,"Little Tree- Great Lakes Holisitc BC","Great Lakes Holistics",5924.10,5924.10,4/10/2026,4.00,23696.40,
13061a,4/6/2026,"Little Tree- Great Lakes Holistics Kalamazoo","Great Lakes Holistics",5769.10,5769.10,4/10/2026,4.00,23076.40,
13062a,4/6/2026,"Gelato- Emerald Fire Provisioning","Emerald Fire",1720.50,1720.50,4/30/2026,24.00,41292.00,YES
13063a,4/6/2026,"Little Tree- Supergood NB","Supergood NB",3549.50,3549.50,4/21/2026,15.00,53242.50,
13064a,4/6/2026,"Little Tree- Levels Waterford","Levels",3868.80,3868.80,4/28/2026,22.00,85113.60,
13065a,4/6/2026,"Little Tree- Level Niles","Niles",9411.60,9411.60,4/28/2026,22.00,207055.20,
13066a,4/6/2026,"Little Tree- Levels New Buffalo","Levels",2783.80,0.00,,68.00,189298.40,
13078a,4/7/2026,"Little Tree- Levels Ironwood","Levels",5139.80,5139.80,5/18/2026,41.00,210731.80,
13079a,4/7/2026,"Little Tree- Levels Sturgis","Levels",2328.10,2328.10,4/28/2026,21.00,48890.10,
13080a,4/7/2026,"Little Tree- Levels Kalamazoo","Levels",1639.90,0.00,,67.00,109873.30,
13081a,4/7/2026,"Little Tree- Levels Grand Haven","Levels",6243.40,0.00,,67.00,418307.80,
13106a,4/8/2026,"Little Tree- LaHaze Processor","LaHaze",962.50,962.50,4/10/2026,2.00,1925.00,
